"","year","tc","examiner_art_unit","n"
"75",2003,1700,1765,38
"76",2003,1700,1771,85
"77",2003,1700,1772,2
"78",2003,1700,1773,6
"79",2003,1700,1774,4
"80",2003,1700,1775,8
"81",2003,1800,1800,1
"82",2003,1800,1838,1
"83",2003,1900,1997,1
"84",2003,2000,2000,1
"85",2003,2000,2001,1
"86",2003,2000,2002,1
"87",2003,2000,2003,2
"88",2003,2100,2177,1
"89",2003,2100,2190,1
"90",2003,2200,2259,1
"91",2003,2300,2313,1
"92",2003,2300,2329,1
"93",2003,2300,2333,1
"94",2003,2300,2339,1
"95",2003,2300,2341,1
"96",2003,2300,2352,1
"97",2003,2300,2353,1
"98",2003,2300,2371,1
"99",2003,2300,2374,1
"100",2003,2300,2379,1
"101",2003,2500,2515,1
"102",2003,2600,2614,1
"103",2003,2800,2811,16
"104",2003,2800,2812,77
"105",2003,2800,2813,15
"106",2003,2800,2814,83
"107",2003,2800,2815,15
"108",2003,2800,2816,19
"109",2003,2800,2817,61
"110",2003,2800,2818,148
"111",2003,2800,2819,5
"112",2003,2800,2821,8
"113",2003,2800,2822,12
"114",2003,2800,2823,53
"115",2003,2800,2824,6
"116",2003,2800,2825,9
"117",2003,2800,2826,65
"118",2003,2800,2827,132
"119",2003,2800,2828,11
"120",2003,2800,2829,71
"121",2003,2800,2831,44
"122",2003,2800,2832,44
"123",2003,2800,2833,36
"124",2003,2800,2834,209
"125",2003,2800,2835,44
"126",2003,2800,2836,26
"127",2003,2800,2837,39
"128",2003,2800,2838,23
"129",2003,2800,2839,22
"130",2003,2800,2841,18
"131",2003,2800,2851,117
"132",2003,2800,2852,3
"133",2003,2800,2853,4
"134",2003,2800,2854,10
"135",2003,2800,2855,22
"136",2003,2800,2856,30
"137",2003,2800,2857,8
"138",2003,2800,2858,12
"139",2003,2800,2859,24
"140",2003,2800,2861,9
"141",2003,2800,2862,6
"142",2003,2800,2863,9
"143",2003,2800,2871,65
"144",2003,2800,2872,13
"145",2003,2800,2873,104
"146",2003,2800,2874,87
"147",2003,2800,2875,73
"148",2003,2800,2876,92
"149",2003,2800,2877,76
"150",2003,2800,2878,65
"151",2003,2800,2879,55
"152",2003,2800,2881,64
"153",2003,2800,2882,46
"154",2003,3500,3533,1
"155",2003,3500,3543,1
"156",2003,3600,3612,4
"157",2003,3600,3617,3
"158",2003,3600,3632,12
"159",2003,3600,3636,14
"160",2003,3600,3641,13
"161",2003,3600,3643,11
"162",2003,3600,3644,11
"163",2003,3600,3652,1
"164",2003,3600,3662,14
"165",2003,3600,3663,1
"166",2003,3600,3671,1
"167",2003,3600,3677,2
"168",2003,3600,3683,2
"169",2003,3700,3712,12
"170",2003,3700,3738,1
"171",2003,3700,3742,1
"172",2003,3700,3743,1
"173",2003,3700,3747,1
"174",2003,3700,3749,14
"175",2003,3700,3751,4
"176",2003,3800,3883,1
"177",2003,3900,3932,1
"178",2003,5200,5224,1
"179",2003,6000,6033,1
"180",2003,6000,6049,1
"181",2003,7300,7317,1
"182",2003,7900,7932,1
"183",2003,9300,9329,1
"184",2003,9600,9610,1
"185",2003,9700,9703,1
"186",2004,0,23,1
"187",2004,100,104,1
"188",2004,100,107,1
"189",2004,100,169,1
"190",2004,200,204,1
"191",2004,400,405,1
"192",2004,400,417,1
"193",2004,500,504,2
"194",2004,600,627,1
"195",2004,700,704,2
"196",2004,700,715,1
"197",2004,800,804,1
"198",2004,800,841,1
"199",2004,900,910,1
"200",2004,900,916,1
"201",2004,1000,1020,2
"202",2004,1000,1090,1
"203",2004,1100,1103,2
"204",2004,1100,1105,1
"205",2004,1100,1111,2
"206",2004,1200,1200,1
"207",2004,1200,1203,1
"208",2004,1200,1245,1
"209",2004,1200,1259,1
"210",2004,1300,1333,2
"211",2004,1300,1339,1
"212",2004,1300,1373,1
"213",2004,1400,1450,1
"214",2004,1500,1514,1
"215",2004,1500,1515,3
"216",2004,1500,1517,5
"217",2004,1500,1521,3
"218",2004,1500,1523,1
"219",2004,1500,1524,3
"220",2004,1500,1531,4
"221",2004,1500,1532,1
"222",2004,1500,1533,1
"223",2004,1500,1534,1
"224",2004,1500,1537,2
"225",2004,1500,1539,2
"226",2004,1500,1541,3
"227",2004,1500,1542,1
"228",2004,1500,1543,3
"229",2004,1500,1545,3
"230",2004,1500,1547,1
"231",2004,1500,1551,3
"232",2004,1500,1553,1
"233",2004,1500,1554,3
"234",2004,1500,1575,1
"235",2004,1600,1600,1
"236",2004,1600,1614,156
"237",2004,1600,1615,178
"238",2004,1600,1616,177
"239",2004,1600,1617,156
"240",2004,1600,1620,1
"241",2004,1600,1621,171
"242",2004,1600,1623,122
"243",2004,1600,1624,167
"244",2004,1600,1625,194
"245",2004,1600,1626,151
"246",2004,1600,1631,163
"247",2004,1600,1632,188
"248",2004,1600,1634,134
"249",2004,1600,1635,111
"250",2004,1600,1636,192
"251",2004,1600,1637,127
"252",2004,1600,1638,144
"253",2004,1600,1639,65
"254",2004,1600,1641,164
"255",2004,1600,1642,150
"256",2004,1600,1644,91
"257",2004,1600,1645,134
"258",2004,1600,1646,171
"259",2004,1600,1647,177
"260",2004,1600,1648,161
"261",2004,1600,1651,186
"262",2004,1600,1652,203
"263",2004,1600,1653,167
"264",2004,1600,1654,189
"265",2004,1600,1661,89
"266",2004,1700,1711,210
"267",2004,1700,1712,140
"268",2004,1700,1713,165
"269",2004,1700,1714,141
"270",2004,1700,1715,1
"271",2004,1700,1722,95
"272",2004,1700,1723,155
"273",2004,1700,1724,207
"274",2004,1700,1725,172
"275",2004,1700,1731,140
"276",2004,1700,1732,167
"277",2004,1700,1733,145
"278",2004,1700,1734,179
"279",2004,1700,1742,178
"280",2004,1700,1743,172
"281",2004,1700,1744,161
"282",2004,1700,1745,168
"283",2004,1700,1746,128
"284",2004,1700,1751,168
"285",2004,1700,1752,135
"286",2004,1700,1753,111
"287",2004,1700,1754,151
"288",2004,1700,1755,170
"289",2004,1700,1756,205
"290",2004,1700,1761,151
"291",2004,1700,1762,198
"292",2004,1700,1763,150
"293",2004,1700,1764,161
"294",2004,1700,1765,137
"295",2004,1700,1771,191
"296",2004,1700,1772,179
"297",2004,1700,1773,135
"298",2004,1700,1774,141
"299",2004,1700,1775,136
"300",2004,1800,1800,1
"301",2004,1900,1939,3
"302",2004,1900,1950,1
"303",2004,1900,1999,1
"304",2004,2000,2003,1
"305",2004,2000,2004,7
"306",2004,2000,2022,1
"307",2004,2000,2069,1
"308",2004,2100,2111,73
"309",2004,2100,2112,68
"310",2004,2100,2113,54
"311",2004,2100,2114,57
"312",2004,2100,2115,46
"313",2004,2100,2116,50
"314",2004,2100,2121,90
"315",2004,2100,2122,90
"316",2004,2100,2123,54
"317",2004,2100,2124,114
"318",2004,2100,2125,117
"319",2004,2100,2126,73
"320",2004,2100,2127,49
"321",2004,2100,2128,39
"322",2004,2100,2131,62
"323",2004,2100,2132,66
"324",2004,2100,2133,129
"325",2004,2100,2134,71
"326",2004,2100,2135,49
"327",2004,2100,2136,45
"328",2004,2100,2137,50
"329",2004,2100,2141,78
"330",2004,2100,2142,72
"331",2004,2100,2143,113
"332",2004,2100,2144,46
"333",2004,2100,2145,27
"334",2004,2100,2151,38
"335",2004,2100,2152,15
"336",2004,2100,2153,72
"337",2004,2100,2154,110
"338",2004,2100,2155,92
"339",2004,2100,2157,94
"340",2004,2100,2161,29
"341",2004,2100,2162,26
"342",2004,2100,2163,16
"343",2004,2100,2164,15
"344",2004,2100,2165,17
"345",2004,2100,2167,29
"346",2004,2100,2171,50
"347",2004,2100,2172,55
"348",2004,2100,2173,102
"349",2004,2100,2174,70
"350",2004,2100,2175,46
"351",2004,2100,2176,92
"352",2004,2100,2177,52
"353",2004,2100,2178,74
"354",2004,2100,2179,37
"355",2004,2100,2182,104
"356",2004,2100,2183,80
"357",2004,2100,2186,85
"358",2004,2100,2187,72
"359",2004,2100,2188,81
"360",2004,2300,2311,2
"361",2004,2300,2314,1
"362",2004,2300,2315,2
"363",2004,2300,2317,1
"364",2004,2300,2319,1
"365",2004,2300,2321,1
"366",2004,2300,2323,2
"367",2004,2300,2324,1
"368",2004,2300,2326,1
"369",2004,2300,2329,1
"370",2004,2300,2331,1
"371",2004,2300,2332,1
"372",2004,2300,2333,1
"373",2004,2300,2334,3
"374",2004,2300,2335,2
"375",2004,2300,2337,4
"376",2004,2300,2339,1
"377",2004,2300,2341,1
"378",2004,2300,2351,1
"379",2004,2300,2352,3
"380",2004,2300,2353,1
"381",2004,2300,2354,1
"382",2004,2300,2357,2
"383",2004,2300,2371,1
"384",2004,2300,2373,2
"385",2004,2300,2376,1
"386",2004,2400,2452,1
"387",2004,2400,2477,1
"388",2004,2500,2512,1
"389",2004,2500,2513,2
"390",2004,2500,2514,3
"391",2004,2500,2523,1
"392",2004,2500,2531,1
"393",2004,2500,2532,1
"394",2004,2500,2533,3
"395",2004,2500,2534,1
"396",2004,2500,2535,2
"397",2004,2500,2537,1
"398",2004,2500,2542,2
"399",2004,2500,2543,3
"400",2004,2500,2544,2
"401",2004,2500,2551,2
"402",2004,2500,2552,1
"403",2004,2500,2553,1
"404",2004,2500,2554,4
"405",2004,2500,2571,1
"406",2004,2500,2572,1
"407",2004,2500,2575,1
"408",2004,2500,2583,1
"409",2004,2600,2611,56
"410",2004,2600,2612,68
"411",2004,2600,2613,76
"412",2004,2600,2614,65
"413",2004,2600,2615,40
"414",2004,2600,2616,31
"415",2004,2600,2621,62
"416",2004,2600,2622,42
"417",2004,2600,2623,64
"418",2004,2600,2624,44
"419",2004,2600,2625,56
"420",2004,2600,2626,43
"421",2004,2600,2631,51
"422",2004,2600,2632,83
"423",2004,2600,2633,64
"424",2004,2600,2634,76
"425",2004,2600,2635,44
"426",2004,2600,2636,104
"427",2004,2600,2637,51
"428",2004,2600,2642,44
"429",2004,2600,2643,96
"430",2004,2600,2644,66
"431",2004,2600,2645,62
"432",2004,2600,2651,79
"433",2004,2600,2652,80
"434",2004,2600,2653,71
"435",2004,2600,2654,58
"436",2004,2600,2655,78
"437",2004,2600,2661,67
"438",2004,2600,2662,57
"439",2004,2600,2663,45
"440",2004,2600,2664,38
"441",2004,2600,2665,59
"442",2004,2600,2666,60
"443",2004,2600,2667,41
"444",2004,2600,2671,49
"445",2004,2600,2672,41
"446",2004,2600,2673,75
"447",2004,2600,2674,51
"448",2004,2600,2675,49
"449",2004,2600,2676,38
"450",2004,2600,2681,39
"451",2004,2600,2682,42
"452",2004,2600,2683,56
"453",2004,2600,2684,51
"454",2004,2600,2685,47
"455",2004,2600,2686,47
"456",2004,2600,2687,22
"457",2004,2800,2811,172
"458",2004,2800,2812,165
"459",2004,2800,2813,189
"460",2004,2800,2814,220
"461",2004,2800,2815,197
"462",2004,2800,2816,229
"463",2004,2800,2817,165
"464",2004,2800,2818,342
"465",2004,2800,2819,191
"466",2004,2800,2821,213
"467",2004,2800,2822,179
"468",2004,2800,2823,129
"469",2004,2800,2824,196
"470",2004,2800,2825,229
"471",2004,2800,2826,171
"472",2004,2800,2827,114
"473",2004,2800,2828,127
"474",2004,2800,2829,196
"475",2004,2800,2831,154
"476",2004,2800,2832,152
"477",2004,2800,2833,191
"478",2004,2800,2834,250
"479",2004,2800,2835,108
"480",2004,2800,2836,111
"481",2004,2800,2837,208
"482",2004,2800,2838,147
"483",2004,2800,2839,128
"484",2004,2800,2841,90
"485",2004,2800,2851,186
"486",2004,2800,2852,131
"487",2004,2800,2853,140
"488",2004,2800,2854,191
"489",2004,2800,2855,178
"490",2004,2800,2856,185
"491",2004,2800,2857,156
"492",2004,2800,2858,106
"493",2004,2800,2859,181
"494",2004,2800,2861,95
"495",2004,2800,2862,55
"496",2004,2800,2863,174
"497",2004,2800,2871,209
"498",2004,2800,2872,198
"499",2004,2800,2873,286
"500",2004,2800,2874,217
"501",2004,2800,2875,240
"502",2004,2800,2876,265
"503",2004,2800,2877,228
"504",2004,2800,2878,197
"505",2004,2800,2879,199
"506",2004,2800,2881,177
"507",2004,2800,2882,135
"508",2004,2800,2883,55
"509",2004,2900,2912,1
"510",2004,2900,2914,2
"511",2004,3000,3054,1
"512",2004,3100,3130,1
"513",2004,3300,3352,1
"514",2004,3500,3511,3
"515",2004,3500,3512,1
"516",2004,3500,3515,1
"517",2004,3500,3517,2
"518",2004,3500,3521,5
"519",2004,3500,3522,5
"520",2004,3500,3523,1
"521",2004,3500,3524,2
"522",2004,3500,3525,3
"523",2004,3500,3529,3
"524",2004,3500,3531,2
"525",2004,3500,3533,1
"526",2004,3500,3534,1
"527",2004,3500,3535,2
"528",2004,3500,3537,1
"529",2004,3500,3539,1
"530",2004,3500,3543,2
"531",2004,3500,3544,1
"532",2004,3500,3551,1
"533",2004,3500,3552,2
"534",2004,3500,3562,1
"535",2004,3500,3566,1
"536",2004,3500,3571,1
"537",2004,3500,3572,3
"538",2004,3500,3573,1
"539",2004,3500,3577,3
"540",2004,3500,3579,1
"541",2004,3600,3611,132
"542",2004,3600,3612,123
"543",2004,3600,3613,1
"544",2004,3600,3616,91
"545",2004,3600,3617,164
"546",2004,3600,3618,82
"547",2004,3600,3621,105
"548",2004,3600,3622,46
"549",2004,3600,3623,74
"550",2004,3600,3624,56
"551",2004,3600,3625,69
"552",2004,3600,3626,44
"553",2004,3600,3627,80
"554",2004,3600,3628,34
"555",2004,3600,3629,73
"556",2004,3600,3632,147
"557",2004,3600,3633,1
"558",2004,3600,3634,92
"559",2004,3600,3635,107
"560",2004,3600,3636,130
"561",2004,3600,3637,64
"562",2004,3600,3641,128
"563",2004,3600,3643,130
"564",2004,3600,3644,137
"565",2004,3600,3651,123
"566",2004,3600,3652,81
"567",2004,3600,3653,105
"568",2004,3600,3654,78
"569",2004,3600,3661,154
"570",2004,3600,3662,128
"571",2004,3600,3663,75
"572",2004,3600,3671,137
"573",2004,3600,3672,143
"574",2004,3600,3673,106
"575",2004,3600,3676,117
"576",2004,3600,3677,151
"577",2004,3600,3679,124
"578",2004,3600,3681,130
"579",2004,3600,3682,126
"580",2004,3600,3683,165
"581",2004,3700,3700,1
"582",2004,3700,3711,125
"583",2004,3700,3712,127
"584",2004,3700,3713,116
"585",2004,3700,3714,82
"586",2004,3700,3721,166
"587",2004,3700,3722,98
"588",2004,3700,3723,137
"589",2004,3700,3724,112
"590",2004,3700,3725,90
"591",2004,3700,3726,87
"592",2004,3700,3727,145
"593",2004,3700,3728,103
"594",2004,3700,3729,101
"595",2004,3700,3731,124
"596",2004,3700,3732,130
"597",2004,3700,3733,1
"598",2004,3700,3735,1
"599",2004,3700,3736,110
"600",2004,3700,3737,70
"601",2004,3700,3738,147
"602",2004,3700,3739,121
"603",2004,3700,3742,132
"604",2004,3700,3743,120
"605",2004,3700,3744,113
"606",2004,3700,3745,79
"607",2004,3700,3746,113
"608",2004,3700,3747,155
"609",2004,3700,3748,142
"610",2004,3700,3749,156
"611",2004,3700,3751,134
"612",2004,3700,3752,85
"613",2004,3700,3753,127
"614",2004,3700,3754,103
"615",2004,3700,3761,68
"616",2004,3700,3762,139
"617",2004,3700,3763,118
"618",2004,3700,3764,84
"619",2004,3700,3765,153
"620",2004,3900,3915,1
"621",2004,3900,3919,1
"622",2004,3900,3924,1
"623",2004,3900,3926,1
"624",2004,3900,3975,1
"625",2004,4400,4417,1
"626",2004,5000,5014,1
"627",2004,5000,5032,1
"628",2004,5100,5114,1
"629",2004,5100,5154,1
"630",2004,5100,5188,1
"631",2004,5100,5199,1
"632",2004,5300,5334,1
"633",2004,5300,5365,1
"634",2004,5500,5570,1
"635",2004,5900,5944,1
"636",2004,5900,5985,1
"637",2004,6000,6004,1
"638",2004,6100,6140,1
"639",2004,6200,6200,1
"640",2004,6400,6456,1
"641",2004,7200,7225,1
"642",2004,7600,7633,1
"643",2004,7700,7720,1
"644",2004,7800,7804,1
"645",2004,8000,8014,1
"646",2004,8100,8140,1
"647",2004,8200,8231,1
"648",2004,8600,8614,1
"649",2004,9000,9037,1
"650",2004,9000,9066,1
"651",2004,9200,9204,1
"652",2004,9200,9237,1
"653",2004,9400,9454,1
"654",2004,9600,9653,1
"655",2005,0,2,1
"656",2005,0,30,1
"657",2005,100,104,1
"658",2005,100,105,1
"659",2005,100,155,1
"660",2005,200,204,2
"661",2005,200,205,1
"662",2005,300,305,1
"663",2005,400,404,1
"664",2005,500,504,1
"665",2005,500,521,1
"666",2005,700,703,1
"667",2005,700,704,1
"668",2005,700,705,1
"669",2005,900,903,1
"670",2005,900,904,1
"671",2005,1000,1004,2
"672",2005,1000,1055,1
"673",2005,1100,1111,2
"674",2005,1100,1129,1
"675",2005,1100,1130,1
"676",2005,1100,1139,1
"677",2005,1100,1145,1
"678",2005,1200,1203,1
"679",2005,1200,1217,1
"680",2005,1300,1338,1
"681",2005,1300,1339,1
"682",2005,1300,1394,1
"683",2005,1400,1442,1
"684",2005,1500,1511,1
"685",2005,1500,1514,1
"686",2005,1500,1515,1
"687",2005,1500,1517,1
"688",2005,1500,1521,3
"689",2005,1500,1525,3
"690",2005,1500,1531,2
"691",2005,1500,1532,1
"692",2005,1500,1535,2
"693",2005,1500,1541,5
"694",2005,1500,1543,3
"695",2005,1500,1545,1
"696",2005,1500,1552,1
"697",2005,1500,1554,2
"698",2005,1600,1600,1
"699",2005,1600,1614,176
"700",2005,1600,1615,198
"701",2005,1600,1616,194
"702",2005,1600,1617,205
"703",2005,1600,1618,69
"704",2005,1600,1621,181
"705",2005,1600,1623,143
"706",2005,1600,1624,136
"707",2005,1600,1625,201
"708",2005,1600,1626,202
"709",2005,1600,1631,186
"710",2005,1600,1632,193
"711",2005,1600,1633,63
"712",2005,1600,1634,185
"713",2005,1600,1635,139
"714",2005,1600,1636,180
"715",2005,1600,1637,145
"716",2005,1600,1638,170
"717",2005,1600,1639,84
"718",2005,1600,1641,204
"719",2005,1600,1642,164
"720",2005,1600,1643,49
"721",2005,1600,1644,127
"722",2005,1600,1645,126
"723",2005,1600,1646,192
"724",2005,1600,1647,214
"725",2005,1600,1648,180
"726",2005,1600,1649,55
"727",2005,1600,1651,219
"728",2005,1600,1652,212
"729",2005,1600,1653,179
"730",2005,1600,1654,201
"731",2005,1600,1655,61
"732",2005,1600,1656,53
"733",2005,1600,1661,84
"734",2005,1700,1700,1
"735",2005,1700,1711,218
"736",2005,1700,1712,132
"737",2005,1700,1713,189
"738",2005,1700,1714,150
"739",2005,1700,1722,133
"740",2005,1700,1723,157
"741",2005,1700,1724,210
"742",2005,1700,1725,188
"743",2005,1700,1731,185
"744",2005,1700,1732,192
"745",2005,1700,1733,163
"746",2005,1700,1734,150
"747",2005,1700,1742,184
"748",2005,1700,1743,201
"749",2005,1700,1744,195
"750",2005,1700,1745,210
"751",2005,1700,1746,160
"752",2005,1700,1747,1
"753",2005,1700,1748,1
"754",2005,1700,1751,170
"755",2005,1700,1752,135
"756",2005,1700,1753,116
"757",2005,1700,1754,180
"758",2005,1700,1755,166
"759",2005,1700,1756,201
"760",2005,1700,1761,180
"761",2005,1700,1762,203
"762",2005,1700,1763,159
"763",2005,1700,1764,172
"764",2005,1700,1765,118
"765",2005,1700,1771,210
"766",2005,1700,1772,175
"767",2005,1700,1773,129
"768",2005,1700,1774,159
"769",2005,1700,1775,153
"770",2005,1700,1782,1
"771",2005,1800,1800,1
"772",2005,1800,1877,1
"773",2005,1900,1939,2
"774",2005,1900,1944,1
"775",2005,1900,1959,1
"776",2005,2000,2001,1
"777",2005,2000,2002,1
"778",2005,2000,2003,2
"779",2005,2000,2004,4
"780",2005,2000,2005,8
"781",2005,2000,2026,1
"782",2005,2100,2111,123
"783",2005,2100,2112,115
"784",2005,2100,2113,119
"785",2005,2100,2114,115
"786",2005,2100,2115,112
"787",2005,2100,2116,130
"788",2005,2100,2121,145
"789",2005,2100,2122,77
"790",2005,2100,2123,116
"791",2005,2100,2124,63
"792",2005,2100,2125,190
"793",2005,2100,2126,43
"794",2005,2100,2127,37
"795",2005,2100,2128,126
"796",2005,2100,2129,53
"797",2005,2100,2131,172
"798",2005,2100,2132,173
"799",2005,2100,2133,234
"800",2005,2100,2134,188
"801",2005,2100,2135,128
"802",2005,2100,2136,110
"803",2005,2100,2137,143
"804",2005,2100,2138,16
"805",2005,2100,2141,165
"806",2005,2100,2142,168
"807",2005,2100,2143,216
"808",2005,2100,2144,119
"809",2005,2100,2145,132
"810",2005,2100,2151,137
"811",2005,2100,2152,79
"812",2005,2100,2153,147
"813",2005,2100,2154,194
"814",2005,2100,2155,208
"815",2005,2100,2157,182
"816",2005,2100,2161,161
"817",2005,2100,2162,139
"818",2005,2100,2163,114
"819",2005,2100,2164,97
"820",2005,2100,2165,102
"821",2005,2100,2166,56
"822",2005,2100,2167,152
"823",2005,2100,2168,21
"824",2005,2100,2171,2
"825",2005,2100,2173,156
"826",2005,2100,2174,94
"827",2005,2100,2175,4
"828",2005,2100,2176,191
"829",2005,2100,2178,144
"830",2005,2100,2179,98
"831",2005,2100,2181,14
"832",2005,2100,2182,179
"833",2005,2100,2183,162
"834",2005,2100,2185,21
"835",2005,2100,2186,152
"836",2005,2100,2187,155
"837",2005,2100,2188,154
"838",2005,2100,2189,100
"839",2005,2100,2191,63
"840",2005,2100,2192,101
"841",2005,2100,2193,120
"842",2005,2100,2194,106
"843",2005,2100,2195,66
"844",2005,2300,2311,1
"845",2005,2300,2312,1
"846",2005,2300,2313,2
"847",2005,2300,2315,1
"848",2005,2300,2321,1
"849",2005,2300,2327,1
"850",2005,2300,2331,1
"851",2005,2300,2332,1
"852",2005,2300,2333,3
"853",2005,2300,2334,2
"854",2005,2300,2335,2
"855",2005,2300,2337,1
"856",2005,2300,2344,1
"857",2005,2300,2352,3
"858",2005,2300,2355,1
"859",2005,2300,2358,1
"860",2005,2300,2371,1
"861",2005,2300,2372,1
"862",2005,2300,2373,1
"863",2005,2300,2374,1
"864",2005,2400,2444,1
"865",2005,2500,2511,1
"866",2005,2500,2512,1
"867",2005,2500,2513,2
"868",2005,2500,2515,1
"869",2005,2500,2521,3
"870",2005,2500,2522,1
"871",2005,2500,2523,6
"872",2005,2500,2525,3
"873",2005,2500,2531,1
"874",2005,2500,2532,2
"875",2005,2500,2533,1
"876",2005,2500,2534,1
"877",2005,2500,2535,3
"878",2005,2500,2537,1
"879",2005,2500,2542,2
"880",2005,2500,2543,1
"881",2005,2500,2544,3
"882",2005,2500,2551,1
"883",2005,2500,2552,4
"884",2005,2500,2555,2
"885",2005,2500,2571,1
"886",2005,2500,2572,2
"887",2005,2500,2573,1
"888",2005,2500,2574,1
"889",2005,2500,2575,6
"890",2005,2500,2576,2
"891",2005,2600,2611,174
"892",2005,2600,2612,175
"893",2005,2600,2613,170
"894",2005,2600,2614,192
"895",2005,2600,2615,134
"896",2005,2600,2616,107
"897",2005,2600,2617,66
"898",2005,2600,2621,163
"899",2005,2600,2622,147
"900",2005,2600,2623,187
"901",2005,2600,2624,157
"902",2005,2600,2625,183
"903",2005,2600,2626,158
"904",2005,2600,2627,24
"905",2005,2600,2631,174
"906",2005,2600,2632,146
"907",2005,2600,2633,155
"908",2005,2600,2634,182
"909",2005,2600,2635,142
"910",2005,2600,2636,178
"911",2005,2600,2637,154
"912",2005,2600,2638,51
"913",2005,2600,2642,146
"914",2005,2600,2643,222
"915",2005,2600,2644,170
"916",2005,2600,2645,192
"917",2005,2600,2646,51
"918",2005,2600,2651,172
"919",2005,2600,2652,182
"920",2005,2600,2653,165
"921",2005,2600,2654,174
"922",2005,2600,2655,173
"923",2005,2600,2656,20
"924",2005,2600,2661,148
"925",2005,2600,2662,161
"926",2005,2600,2663,123
"927",2005,2600,2664,119
"928",2005,2600,2665,183
"929",2005,2600,2666,155
"930",2005,2600,2667,134
"931",2005,2600,2668,21
"932",2005,2600,2671,134
"933",2005,2600,2672,124
"934",2005,2600,2673,172
"935",2005,2600,2674,145
"936",2005,2600,2675,150
"937",2005,2600,2676,144
"938",2005,2600,2677,35
"939",2005,2600,2681,151
"940",2005,2600,2682,131
"941",2005,2600,2683,177
"942",2005,2600,2684,157
"943",2005,2600,2685,167
"944",2005,2600,2686,151
"945",2005,2600,2687,132
"946",2005,2600,2688,18
"947",2005,2800,2800,1
"948",2005,2800,2811,183
"949",2005,2800,2812,159
"950",2005,2800,2813,184
"951",2005,2800,2814,218
"952",2005,2800,2815,194
"953",2005,2800,2816,243
"954",2005,2800,2817,192
"955",2005,2800,2818,243
"956",2005,2800,2819,192
"957",2005,2800,2821,229
"958",2005,2800,2822,192
"959",2005,2800,2823,190
"960",2005,2800,2824,161
"961",2005,2800,2825,180
"962",2005,2800,2826,208
"963",2005,2800,2827,183
"964",2005,2800,2828,138
"965",2005,2800,2829,170
"966",2005,2800,2831,146
"967",2005,2800,2832,146
"968",2005,2800,2833,184
"969",2005,2800,2834,286
"970",2005,2800,2835,165
"971",2005,2800,2836,177
"972",2005,2800,2837,264
"973",2005,2800,2838,168
"974",2005,2800,2839,127
"975",2005,2800,2841,173
"976",2005,2800,2851,194
"977",2005,2800,2852,155
"978",2005,2800,2853,156
"979",2005,2800,2854,181
"980",2005,2800,2855,187
"981",2005,2800,2856,209
"982",2005,2800,2857,166
"983",2005,2800,2858,124
"984",2005,2800,2859,177
"985",2005,2800,2861,100
"986",2005,2800,2862,70
"987",2005,2800,2863,184
"988",2005,2800,2871,211
"989",2005,2800,2872,197
"990",2005,2800,2873,255
"991",2005,2800,2874,217
"992",2005,2800,2875,301
"993",2005,2800,2876,252
"994",2005,2800,2877,225
"995",2005,2800,2878,248
"996",2005,2800,2879,214
"997",2005,2800,2881,160
"998",2005,2800,2882,142
"999",2005,2800,2883,142
"1000",2005,2800,2884,22
"1001",2005,2800,2891,122
